Order,Timestamp,AngleHeading,AnglePitch,AngleRoll,PosLat, PosLon,PosAlt,VelNorth,VelEast,VelDown,Speed2D
156.0,2021-09-08-18h08m50s919753us,64.18,-0.75,0.76,30.4976997,114.520172,44.385,0.0,0.01,0.0,0.01
158.0,2021-09-08-18h08m51s121213us,64.18,-0.75,0.76,30.4976997,114.5201719,44.384,0.0,0.01,0.0,0.01
160.0,2021-09-08-18h08m51s322702us,64.18,-0.74,0.76,30.4976997,114.5201719,44.383,0.0,0.0,0.0,0.0
161.0,2021-09-08-18h08m51s423427us,64.18,-0.74,0.76,30.4976997,114.5201719,44.383,0.0,0.0,0.0,0.0
162.0,2021-09-08-18h08m51s524136us,64.18,-0.74,0.76,30.4976997,114.5201719,44.383,0.0,0.0,0.0,0.0
163.0,2021-09-08-18h08m51s624866us,64.18,-0.74,0.76,30.4976997,114.5201719,44.383,0.0,0.0,0.0,0.0
164.0,2021-09-08-18h08m51s725597us,64.18,-0.74,0.76,30.4976997,114.5201719,44.382,0.0,0.0,0.0,0.0
165.0,2021-09-08-18h08m51s826326us,64.18,-0.74,0.76,30.4976997,114.5201719,44.382,0.0,0.0,0.0,0.0
166.0,2021-09-08-18h08m51s927058us,64.18,-0.74,0.76,30.4976997,114.5201719,44.382,0.0,0.0,0.0,0.0
167.0,2021-09-08-18h08m52s027788us,64.18,-0.74,0.76,30.4976997,114.5201719,44.382,0.0,0.0,0.0,0.0
168.0,2021-09-08-18h08m52s128519us,64.18,-0.74,0.76,30.4976997,114.5201719,44.382,0.0,0.0,0.0,0.0
169.0,2021-09-08-18h08m52s229251us,64.18,-0.74,0.76,30.4976996,114.5201719,44.382,-0.01,0.0,0.0,0.01
170.0,2021-09-08-18h08m52s329981us,64.18,-0.74,0.76,30.4976996,114.5201719,44.382,-0.01,0.0,0.0,0.01
171.0,2021-09-08-18h08m52s430710us,64.19,-0.74,0.76,30.4976996,114.5201719,44.382,0.0,0.01,0.0,0.01
172.0,2021-09-08-18h08m52s531442us,64.19,-0.71,0.76,30.4976996,114.5201719,44.381,0.01,0.03,0.01,0.03
173.0,2021-09-08-18h08m52s632196us,64.19,-0.63,0.77,30.4976996,114.5201719,44.38,0.03,0.09,0.01,0.09
174.0,2021-09-08-18h08m52s732410us,64.19,-0.54,0.77,30.4976997,114.520172,44.379,0.06,0.15,0.01,0.16
175.0,2021-09-08-18h08m52s833164us,64.2,-0.51,0.77,30.4976997,114.5201722,44.379,0.08,0.21,0.0,0.22
177.0,2021-09-08-18h08m53s034602us,64.2,-0.6,0.78,30.4976999,114.5201727,44.381,0.11,0.28,-0.01,0.31
178.0,2021-09-08-18h08m53s135363us,64.21,-0.63,0.78,30.4977,114.520173,44.381,0.12,0.3,0.0,0.33
179.0,2021-09-08-18h08m53s236063us,64.21,-0.67,0.79,30.4977001,114.5201733,44.382,0.12,0.3,0.0,0.32
180.0,2021-09-08-18h08m53s336793us,64.22,-0.71,0.8,30.4977002,114.5201736,44.381,0.11,0.28,0.01,0.3
181.0,2021-09-08-18h08m53s437524us,64.22,-0.74,0.81,30.4977003,114.5201739,44.38,0.09,0.23,0.01,0.25
182.0,2021-09-08-18h08m53s538255us,64.23,-0.76,0.82,30.4977004,114.5201741,44.379,0.07,0.18,0.01,0.2
183.0,2021-09-08-18h08m53s638985us,64.23,-0.76,0.8,30.4977005,114.5201743,44.379,0.05,0.12,0.0,0.13
185.0,2021-09-08-18h08m53s840448us,64.22,-0.78,0.79,30.4977005,114.5201744,44.379,-0.02,-0.02,0.0,0.02
186.0,2021-09-08-18h08m53s941178us,64.22,-0.78,0.8,30.4977005,114.5201744,44.38,-0.02,-0.03,-0.01,0.04
187.0,2021-09-08-18h08m54s041909us,64.22,-0.78,0.81,30.4977005,114.5201744,44.382,-0.01,0.0,-0.02,0.01
189.0,2021-09-08-18h08m54s243370us,64.23,-0.71,0.81,30.4977005,114.5201744,44.382,-0.01,0.0,0.02,0.01
190.0,2021-09-08-18h08m54s344100us,64.22,-0.73,0.81,30.4977004,114.5201744,44.383,-0.01,0.0,-0.01,0.01
191.0,2021-09-08-18h08m54s444850us,64.22,-0.76,0.81,30.4977004,114.5201744,44.385,-0.01,0.0,-0.01,0.01
192.0,2021-09-08-18h08m54s545562us,64.22,-0.75,0.81,30.4977004,114.5201744,44.386,-0.01,0.0,0.01,0.01
193.0,2021-09-08-18h08m54s646293us,64.22,-0.74,0.81,30.4977004,114.5201744,44.385,-0.01,0.0,0.0,0.01
194.0,2021-09-08-18h08m54s747022us,64.22,-0.75,0.81,30.4977004,114.5201744,44.386,-0.01,0.0,-0.01,0.01
195.0,2021-09-08-18h08m54s847754us,64.22,-0.75,0.81,30.4977004,114.5201744,44.387,-0.01,0.0,0.0,0.01
196.0,2021-09-08-18h08m54s948484us,64.22,-0.74,0.81,30.4977004,114.5201744,44.386,-0.01,0.0,0.0,0.01
197.0,2021-09-08-18h08m55s049215us,64.22,-0.75,0.81,30.4977004,114.5201744,44.386,-0.01,0.0,0.0,0.01
198.0,2021-09-08-18h08m55s149973us,64.22,-0.75,0.81,30.4977004,114.5201744,44.386,-0.01,0.0,0.0,0.01
199.0,2021-09-08-18h08m55s250182us,64.22,-0.75,0.81,30.4977004,114.5201744,44.385,-0.01,0.0,0.0,0.01
200.0,2021-09-08-18h08m55s350913us,64.22,-0.75,0.8,30.4977005,114.5201744,44.385,-0.01,0.0,0.0,0.01
201.0,2021-09-08-18h08m55s451643us,64.22,-0.75,0.81,30.4977005,114.5201744,44.385,-0.01,0.0,0.0,0.01
202.0,2021-09-08-18h08m55s552068us,64.22,-0.75,0.8,30.4977005,114.5201744,44.384,-0.01,0.0,0.0,0.01
203.0,2021-09-08-18h08m55s652799us,64.22,-0.75,0.8,30.4977005,114.5201744,44.384,-0.01,0.0,0.0,0.01
204.0,2021-09-08-18h08m55s753529us,64.22,-0.72,0.8,30.4977005,114.5201744,44.383,0.0,0.03,0.01,0.03
205.0,2021-09-08-18h08m55s854259us,64.22,-0.64,0.79,30.4977005,114.5201745,44.38,0.03,0.08,0.02,0.08
206.0,2021-09-08-18h08m55s955018us,64.22,-0.57,0.78,30.4977005,114.5201746,44.378,0.05,0.13,0.01,0.14
207.0,2021-09-08-18h08m56s055722us,64.23,-0.55,0.78,30.4977006,114.5201748,44.377,0.06,0.18,0.0,0.19
208.0,2021-09-08-18h08m56s156451us,64.23,-0.57,0.79,30.4977007,114.520175,44.377,0.08,0.23,0.0,0.24
209.0,2021-09-08-18h08m56s257182us,64.23,-0.59,0.79,30.4977008,114.5201752,44.377,0.1,0.27,0.0,0.29
210.0,2021-09-08-18h08m56s357914us,64.24,-0.6,0.78,30.4977009,114.5201755,44.376,0.12,0.31,0.0,0.33
211.0,2021-09-08-18h08m56s458644us,64.24,-0.59,0.78,30.497701,114.5201759,44.375,0.14,0.35,0.01,0.38
212.0,2021-09-08-18h08m56s559374us,64.24,-0.58,0.78,30.4977012,114.5201763,44.373,0.16,0.4,0.01,0.43
213.0,2021-09-08-18h08m56s660105us,64.25,-0.58,0.78,30.4977013,114.5201768,44.372,0.18,0.45,0.01,0.48
214.0,2021-09-08-18h08m56s760835us,64.26,-0.58,0.79,30.4977015,114.5201772,44.371,0.2,0.49,0.01,0.53
215.0,2021-09-08-18h08m56s861566us,64.26,-0.6,0.78,30.4977017,114.5201778,44.37,0.21,0.53,0.01,0.57
216.0,2021-09-08-18h08m56s962296us,64.27,-0.6,0.78,30.4977019,114.5201783,44.369,0.23,0.57,0.01,0.61
217.0,2021-09-08-18h08m57s063027us,64.28,-0.61,0.78,30.4977021,114.5201789,44.367,0.25,0.6,0.01,0.65
218.0,2021-09-08-18h08m57s163757us,64.29,-0.6,0.78,30.4977024,114.5201796,44.366,0.26,0.64,0.01,0.69
219.0,2021-09-08-18h08m57s264489us,64.29,-0.6,0.78,30.4977026,114.5201803,44.363,0.28,0.68,0.01,0.73
220.0,2021-09-08-18h08m57s365219us,64.29,-0.61,0.79,30.4977029,114.520181,44.361,0.29,0.71,0.01,0.77
221.0,2021-09-08-18h08m57s465949us,64.29,-0.62,0.81,30.4977031,114.5201817,44.359,0.31,0.74,0.01,0.8
222.0,2021-09-08-18h08m57s566679us,64.28,-0.61,0.81,30.4977034,114.5201825,44.357,0.32,0.77,0.02,0.84
223.0,2021-09-08-18h08m57s667411us,64.27,-0.61,0.8,30.4977037,114.5201833,44.355,0.33,0.8,0.02,0.87
224.0,2021-09-08-18h08m57s768141us,64.24,-0.63,0.78,30.497704,114.5201842,44.354,0.35,0.82,0.01,0.89
225.0,2021-09-08-18h08m57s868889us,64.22,-0.64,0.77,30.4977044,114.520185,44.353,0.36,0.85,0.01,0.92
226.0,2021-09-08-18h08m57s969604us,64.19,-0.65,0.78,30.4977047,114.520186,44.352,0.37,0.87,0.02,0.94
227.0,2021-09-08-18h08m58s070333us,64.13,-0.64,0.8,30.4977051,114.5201869,44.351,0.38,0.89,0.02,0.97
228.0,2021-09-08-18h08m58s171087us,64.07,-0.64,0.83,30.4977054,114.5201879,44.35,0.39,0.91,0.02,0.99
230.0,2021-09-08-18h08m58s372525us,63.91,-0.64,0.82,30.4977061,114.5201898,44.35,0.41,0.93,0.01,1.01
231.0,2021-09-08-18h08m58s473255us,63.79,-0.63,0.79,30.4977065,114.5201907,44.35,0.42,0.94,0.01,1.03
