Order,Timestamp,AngleHeading,AnglePitch,AngleRoll,PosLat, PosLon,PosAlt,VelNorth,VelEast,VelDown,Speed2D
155,2021-09-08-18h08m51s121213us,65.96,0.56,1.29,30.4977271,114.5202387,44.469,0.0,0.02,0.01,0.02
156,2021-09-08-18h08m51s322702us,65.96,0.67,1.31,30.4977271,114.5202388,44.465,0.0,0.02,0.02,0.02
157,2021-09-08-18h08m51s423427us,65.96,0.69,1.31,30.4977271,114.5202388,44.465,0.0,0.02,0.02,0.02
158,2021-09-08-18h08m51s524136us,65.96,0.73,1.31,30.4977271,114.5202388,44.463,0.0,0.01,0.01,0.01
159,2021-09-08-18h08m51s624866us,65.96,0.75,1.3,30.4977271,114.5202388,44.462,-0.01,0.0,0.0,0.01
160,2021-09-08-18h08m51s725597us,65.96,0.75,1.3,30.4977271,114.5202388,44.462,-0.01,-0.01,-0.01,0.01
161,2021-09-08-18h08m51s826326us,65.96,0.74,1.3,30.4977271,114.5202388,44.463,-0.01,0.0,0.0,0.01
162,2021-09-08-18h08m51s927058us,65.96,0.74,1.31,30.4977271,114.5202388,44.463,-0.01,0.0,0.0,0.01
163,2021-09-08-18h08m52s027788us,65.96,0.74,1.31,30.4977271,114.5202388,44.462,-0.01,0.0,0.0,0.01
164,2021-09-08-18h08m52s128519us,65.96,0.75,1.31,30.4977271,114.5202388,44.462,-0.01,0.0,0.0,0.01
165,2021-09-08-18h08m52s229251us,65.96,0.75,1.3,30.4977271,114.5202388,44.462,-0.01,0.0,0.0,0.01
166,2021-09-08-18h08m52s329981us,65.96,0.74,1.31,30.4977271,114.5202388,44.462,-0.01,0.0,0.0,0.01
167,2021-09-08-18h08m52s430710us,65.96,0.74,1.31,30.4977271,114.5202388,44.462,-0.01,0.0,0.0,0.01
168,2021-09-08-18h08m52s531442us,65.96,0.74,1.31,30.4977271,114.5202388,44.462,0.0,0.0,0.0,0.01
169,2021-09-08-18h08m52s632196us,65.96,0.74,1.3,30.4977271,114.5202388,44.462,-0.01,0.0,0.0,0.01
170,2021-09-08-18h08m52s732410us,65.96,0.74,1.3,30.4977271,114.5202388,44.462,-0.01,0.0,0.0,0.01
171,2021-09-08-18h08m52s833164us,65.97,0.74,1.31,30.4977271,114.5202388,44.462,0.0,0.0,0.0,0.0
172,2021-09-08-18h08m53s034602us,65.96,0.74,1.3,30.4977271,114.5202388,44.462,-0.01,0.0,0.0,0.01
173,2021-09-08-18h08m53s135363us,65.96,0.74,1.3,30.4977271,114.5202388,44.462,-0.01,0.0,0.0,0.01
174,2021-09-08-18h08m53s236063us,65.96,0.74,1.3,30.4977271,114.5202388,44.463,-0.01,0.0,0.0,0.01
175,2021-09-08-18h08m53s336793us,65.96,0.74,1.3,30.4977271,114.5202388,44.463,-0.01,0.0,0.0,0.01
176,2021-09-08-18h08m53s437524us,65.96,0.74,1.3,30.4977271,114.5202388,44.463,0.0,0.0,0.0,0.01
177,2021-09-08-18h08m53s538255us,65.96,0.74,1.3,30.4977271,114.5202388,44.463,-0.01,0.0,0.0,0.01
178,2021-09-08-18h08m53s638985us,65.96,0.74,1.3,30.4977271,114.5202388,44.463,0.0,0.0,0.0,0.0
180,2021-09-08-18h08m53s840448us,65.96,0.74,1.3,30.4977271,114.5202388,44.464,0.0,0.0,0.0,0.0
181,2021-09-08-18h08m53s941178us,65.96,0.73,1.3,30.4977271,114.5202388,44.464,0.0,0.0,0.0,0.0
182,2021-09-08-18h08m54s041909us,65.96,0.73,1.3,30.4977271,114.5202388,44.464,0.0,0.0,0.0,0.0
183,2021-09-08-18h08m54s243370us,65.96,0.73,1.3,30.4977271,114.5202388,44.464,0.0,0.0,0.0,0.0
184,2021-09-08-18h08m54s344100us,65.96,0.73,1.29,30.4977271,114.5202388,44.464,0.0,0.0,0.0,0.0
185,2021-09-08-18h08m54s444850us,65.96,0.73,1.3,30.4977271,114.5202388,44.465,0.0,0.0,0.0,0.0
186,2021-09-08-18h08m54s545562us,65.96,0.73,1.3,30.4977271,114.5202388,44.465,0.0,0.0,0.0,0.0
187,2021-09-08-18h08m54s646293us,65.97,0.72,1.3,30.4977271,114.5202388,44.466,0.01,0.03,-0.02,0.03
188,2021-09-08-18h08m54s747022us,65.96,0.67,1.3,30.4977272,114.5202388,44.468,0.02,0.06,-0.03,0.06
189,2021-09-08-18h08m54s847754us,65.96,0.64,1.29,30.4977272,114.5202389,44.471,0.05,0.12,-0.01,0.13
190,2021-09-08-18h08m54s948484us,65.96,0.67,1.28,30.4977273,114.5202391,44.471,0.07,0.16,0.0,0.18
191,2021-09-08-18h08m55s049215us,65.96,0.7,1.29,30.4977273,114.5202393,44.47,0.1,0.22,0.01,0.24
192,2021-09-08-18h08m55s149973us,65.96,0.7,1.29,30.4977275,114.5202396,44.469,0.13,0.28,0.0,0.3
193,2021-09-08-18h08m55s250182us,65.95,0.68,1.29,30.4977276,114.5202399,44.469,0.14,0.31,0.0,0.34
194,2021-09-08-18h08m55s350913us,65.95,0.68,1.28,30.4977278,114.5202402,44.468,0.17,0.36,0.0,0.4
195,2021-09-08-18h08m55s451643us,65.95,0.68,1.28,30.4977279,114.5202406,44.468,0.18,0.4,0.01,0.44
196,2021-09-08-18h08m55s552068us,65.95,0.69,1.28,30.4977282,114.5202412,44.466,0.22,0.48,0.01,0.52
197,2021-09-08-18h08m55s652799us,65.95,0.69,1.27,30.4977283,114.5202415,44.466,0.23,0.5,0.01,0.55
198,2021-09-08-18h08m55s753529us,65.96,0.69,1.27,30.4977286,114.5202422,44.465,0.26,0.57,0.01,0.63
199,2021-09-08-18h08m55s854259us,65.96,0.68,1.26,30.4977288,114.5202428,44.463,0.29,0.62,0.01,0.69
200,2021-09-08-18h08m55s955018us,65.96,0.67,1.26,30.497729,114.5202433,44.463,0.3,0.66,0.01,0.72
201,2021-09-08-18h08m56s055722us,65.97,0.66,1.27,30.4977293,114.5202442,44.461,0.33,0.72,0.01,0.79
202,2021-09-08-18h08m56s156451us,65.99,0.67,1.28,30.4977297,114.5202451,44.459,0.36,0.78,0.01,0.86
203,2021-09-08-18h08m56s257182us,66.01,0.67,1.28,30.49773,114.5202459,44.458,0.38,0.83,0.02,0.92
204,2021-09-08-18h08m56s357914us,66.05,0.67,1.28,30.4977308,114.5202479,44.454,0.43,0.94,0.01,1.03
205,2021-09-08-18h08m56s458644us,66.05,0.67,1.28,30.4977308,114.5202479,44.454,0.43,0.94,0.01,1.03
206,2021-09-08-18h08m56s559374us,66.07,0.66,1.27,30.4977312,114.5202489,44.452,0.45,0.98,0.01,1.08
207,2021-09-08-18h08m56s660105us,66.08,0.65,1.26,30.4977315,114.5202495,44.451,0.46,1.01,0.01,1.11
208,2021-09-08-18h08m56s760835us,66.12,0.64,1.25,30.497732,114.5202508,44.448,0.48,1.07,0.02,1.17
209,2021-09-08-18h08m56s861566us,66.18,0.64,1.24,30.4977325,114.5202522,44.445,0.5,1.12,0.02,1.23
210,2021-09-08-18h08m56s962296us,66.22,0.64,1.26,30.497733,114.5202535,44.443,0.52,1.17,0.02,1.28
211,2021-09-08-18h08m57s063027us,66.25,0.64,1.26,30.4977333,114.5202541,44.441,0.53,1.19,0.02,1.31
212,2021-09-08-18h08m57s163757us,66.31,0.63,1.26,30.4977339,114.5202557,44.438,0.56,1.25,0.02,1.37
213,2021-09-08-18h08m57s264489us,66.37,0.64,1.26,30.4977346,114.5202575,44.435,0.58,1.31,0.02,1.43
214,2021-09-08-18h08m57s365219us,66.43,0.64,1.27,30.4977351,114.5202588,44.432,0.6,1.35,0.03,1.47
215,2021-09-08-18h08m57s465949us,66.49,0.62,1.28,30.4977357,114.5202603,44.429,0.61,1.39,0.03,1.52
216,2021-09-08-18h08m57s566679us,66.55,0.62,1.28,30.4977362,114.5202616,44.427,0.63,1.42,0.02,1.55
217,2021-09-08-18h08m57s667411us,66.63,0.62,1.28,30.4977369,114.5202634,44.424,0.64,1.46,0.02,1.59
218,2021-09-08-18h08m57s768141us,66.65,0.62,1.28,30.4977371,114.520264,44.424,0.65,1.47,0.02,1.61
219,2021-09-08-18h08m57s868889us,66.71,0.62,1.29,30.4977377,114.5202655,44.421,0.66,1.5,0.03,1.64
220,2021-09-08-18h08m57s969604us,66.78,0.62,1.29,30.4977383,114.5202671,44.418,0.67,1.54,0.03,1.68
221,2021-09-08-18h08m58s070333us,66.88,0.6,1.25,30.4977392,114.5202696,44.413,0.7,1.59,0.03,1.74
